Ludwig;van Beethoven;1770;1827
Immanuel;Kant;1724;1804
Wolfgang Amadeus;Mozart;1756;1791
Johann Sebastian;Bach;1685;1750
Pjotr Iljitsch;Tschaikowski;1840;1893
Richard;Wagner;1813;1883
Frédéric;Chopin;1810;1849
